group_name;album_name;year;track
Король и Шут;Акустический альбом;1999;Кукла колдуна
Король и Шут;Акустический альбом;1999;Наблюдатель
Король и Шут;Акустический альбом;1999;Бедняжка
Король и Шут;Акустический альбом;1999;Прыгну со скалы
Король и Шут;Акустический альбом;1999;Девушка и Граф
Король и Шут;Акустический альбом;1999;Песня Мушкетёров
Король и Шут;Акустический альбом;1999;Тяни
Король и Шут;Акустический альбом;1999;Утренний рассвет
Король и Шут;Акустический альбом;1999;Сосиска
Король и Шут;Акустический альбом;1999;Карапуз
Король и Шут;Акустический альбом;1999;Спятил отец
Король и Шут;Акустический альбом;1999;Ведьма и осёл
Король и Шут;Акустический альбом;1999;Екатерина
Король и Шут;Акустический альбом;1999;Прерванная любовь
Король и Шут;Акустический альбом;1999;Мотоцикл
Король и Шут;Акустический альбом;1999;Голые коки
Король и Шут;Акустический альбом;1999;Забытые ботинки
Король и Шут;Бунт на корабле;2004;Хардкор по-русски
Король и Шут;Бунт на корабле;2004;Волшебный глаз старика Алонса
Король и Шут;Бунт на корабле;2004;Исповедь вампира
Король и Шут;Бунт на корабле;2004;Месть Гарри
Король и Шут;Бунт на корабле;2004;Северный Флот
Король и Шут;Бунт на корабле;2004;Идол
Король и Шут;Бунт на корабле;2004;Бунт на корабле!
Король и Шут;Бунт на корабле;2004;Хороший пират - мёртвый пират
Король и Шут;Бунт на корабле;2004;Рыцарь
Король и Шут;Бунт на корабле;2004;Звонок
Король и Шут;Бунт на корабле;2004;Инквизитор
Король и Шут;Бунт на корабле;2004;Задира и солдат
Король и Шут;Бунт на корабле;2004;Раненый воин
Король и Шут;Бунт на корабле;2004;Хозяин леса
Король и Шут;Как в старой сказке;2001;Гимн Шута
Король и Шут;Как в старой сказке;2001;Проклятый Старый Дом
Король и Шут;Как в старой сказке;2001;Тайна Хозяйки Старинных Часов
Король и Шут;Как в старой сказке;2001;Кузьма и Барин
Король и Шут;Как в старой сказке;2001;Пират
Король и Шут;Как в старой сказке;2001;Скотный Двор
Король и Шут;Как в старой сказке;2001;Возвращение Колдуна
Король и Шут;Как в старой сказке;2001;Зловещий Кузен
Король и Шут;Как в старой сказке;2001;Ответ - Лютая Месть!
Король и Шут;Как в старой сказке;2001;Рогатый
Король и Шут;Как в старой сказке;2001;Двухголовый Отпрыск
Король и Шут;Как в старой сказке;2001;Два Монаха в Одну Ночь
Король и Шут;Как в старой сказке;2001;Кто Это Всё Придумал?
Король и Шут;Как в старой сказке;2001;Пивной Череп
Король и Шут;Как в старой сказке;2001;Парень и Леший
Король и Шут;Как в старой сказке;2001;Похороны Панка
Король и Шут;Как в старой сказке;2001;Воспоминания о Былой Любви
Король и Шут;Камнем по Голове;1996;Смельчак и Ветер
Король и Шут;Камнем по Голове;1996;Проказник Скоморох
Король и Шут;Камнем по Голове;1996;Верная Жена
Король и Шут;Камнем по Голове;1996;Садовник
Король и Шут;Камнем по Голове;1996;Блуждают Тени
Король и Шут;Камнем по Голове;1996;Внезапная Голова
Король и Шут;Камнем по Голове;1996;Шар Голубой
Король и Шут;Камнем по Голове;1996;Злодей и Шапка
Король и Шут;Камнем по Голове;1996;От Женщин Кругом Голова
Король и Шут;Камнем по Голове;1996;Рыбак
Король и Шут;Камнем по Голове;1996;Мотоцикл
Король и Шут;Камнем по Голове;1996;Холодное Тело
Король и Шут;Камнем по Голове;1996;Дурак и Молния
Король и Шут;Камнем по Голове;1996;Леший Обиделся
Король и Шут;Камнем по Голове;1996;Два Вора и Монета
Король и Шут;Камнем по Голове;1996;Любовь и Пропеллер
Король и Шут;Камнем по Голове;1996;Камнем по Голове
Король и Шут;Камнем по Голове;1996;С Тех Пор Как Он Ушёл
Король и Шут;Камнем по Голове;1996;История
Король и Шут;Камнем по Голове;1996;Окутанная Тайной
Король и Шут;Камнем по Голове;1996;Лесные Разбойники
Король и Шут;Камнем по Голове;1996;Мария
Король и Шут;Король и Шут;1996;Король и Шут
Король и Шут;Король и Шут;1996;Два друга
Король и Шут;Король и Шут;1996;Сапоги
Король и Шут;Король и Шут;1996;Охотник
Король и Шут;Король и Шут;1996;Паника в селе
Король и Шут;Король и Шут;1996;Истинный убийца
Король и Шут;Король и Шут;1996;Лесник
Король и Шут;Король и Шут;1996;Помоги мне!
Король и Шут;Король и Шут;1996;Воспоминания о Мёртовой Женщине
Король и Шут;Король и Шут;1996;Кукольный Театр
Король и Шут;Король и Шут;1996;Валет и Дама
Король и Шут;Король и Шут;1996;Весёлые Тролли
Король и Шут;Король и Шут;1996;Вячеслав
Король и Шут;Король и Шут;1996;Отец и Маски
Король и Шут;Король и Шут;1996;Сказка про Дракона
Король и Шут;Король и Шут;1996;Инструмент
Король и Шут;Король и Шут;1996;Собрание
Король и Шут;Продавец Кошмаров;2006;Марионетки
Король и Шут;Продавец Кошмаров;2006;Маска
Король и Шут;Продавец Кошмаров;2006;Ром
Король и Шут;Продавец Кошмаров;2006;Гробовщик
Король и Шут;Продавец Кошмаров;2006;Дочка Вурдалака
Король и Шут;Продавец Кошмаров;2006;Свой Среди Чужих
Король и Шут;Продавец Кошмаров;2006;Отражение
Король и Шут;Продавец Кошмаров;2006;Та что смотрит из пруда
Король и Шут;Продавец Кошмаров;2006;В Гостях у Соседа
Король и Шут;Продавец Кошмаров;2006;Хозяин Таверны
Король и Шут;Продавец Кошмаров;2006;Писатель Гудвин
Король и Шут;Продавец Кошмаров;2006;Джокер
Король и Шут;Продавец Кошмаров;2006;Пляски на Могиле
Король и Шут;Продавец Кошмаров;2006;Матерый Волк
Король и Шут;Продавец Кошмаров;2006;Продавец Кошмаров
Король и Шут;Продавец Кошмаров;2006;Город Мертвецов
Король и Шут;Театр Демона;2010;Послание
Король и Шут;Театр Демона;2010;Театральный демон
Король и Шут;Театр Демона;2010;Киногерой
Король и Шут;Театр Демона;2010;Фокусник
Король и Шут;Театр Демона;2010;Танец злобного гения
Король и Шут;Театр Демона;2010;Энди Кауфман
Король и Шут;Театр Демона;2010;Мадам Жоржетт
Король и Шут;Театр Демона;2010;Бунтарь
Король и Шут;Театр Демона;2010;Тёмный Учитель
Король и Шут;Театр Демона;2010;Король Вечного Сна
Король и Шут;Театр Демона;2010;Бал Лицемеров
Король и Шут;Театр Демона;2010;Защитники
Король и Шут;Тень Клоуна;2008;Тень Клоуна
Король и Шут;Тень Клоуна;2008;Дагон
Король и Шут;Тень Клоуна;2008;Двое Против Всех
Король и Шут;Тень Клоуна;2008;В Париж - Домой
Король и Шут;Тень Клоуна;2008;Ричард Гордон
Король и Шут;Тень Клоуна;2008;Фред
Король и Шут;Тень Клоуна;2008;Санта Клаус
Король и Шут;Тень Клоуна;2008;Кода
Король и Шут;Тень Клоуна;2008;Невидимка
Король и Шут;Тень Клоуна;2008;A.M.T.V.
Король и Шут;Тень Клоуна;2008;Ходит Зомби
Король и Шут;Тень Клоуна;2008;Смешной Пистолет
Король и Шут;Тень Клоуна;2008;Вестник
Король и Шут;Тень Клоуна;2008;Клеймённый Огнём
Король и Шут;Тень Клоуна;2008;Тринадцатая Рана
Король и Шут;Тень Клоуна;2008;Суфлёр
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Добрые Люди (Хор нищих)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Баллада о Бедном Цирюльнике (Ария Бродяги)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Каторжник (Ария Тодда)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Пирожки от Ловетт (Хор нищих и бродяг)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Праздник Крови (Ария Судьи)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Машина Смерти (Ария Ловетт и Мясника)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Смертный Приговор (Ария Тодда и Мясника)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Признание Ловетт (Ария Ловетт)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Первая Кровь (Ария Священника и Тодда)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Новая Пирожковая (Ария благородной толпы)
Король и Шут;TODD - Акт 1. «Праздник Крови»;2011;Счастье? (Ария Тодда)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Смерть на балу (Ария Солиста и Тодда)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Маленький остров (Ария Ловетт)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Неупокоенный (Ария Тодда)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Выход Судьи (Ария Судьи)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Христова Невеста (Дуэт Элизы и Тодда)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Священник больше ничего не скажет (Ария Тодда)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Небесный суд (Дуэт Судьи и Тодда)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Почему ты жива? (Ария Тодда)
Король и Шут;TODD - Акт 2. «На Краю»;2012;Смерть Ловетт (Ария Ловетт)
Король и Шут;TODD - Акт 2. «На Краю»;2012;На краю (Последняя ария Тодда)
Король и Шут;Жаль - нет ружья!;2002;Волоскрад
Король и Шут;Жаль - нет ружья!;2002;Мёртвый Анархист
Король и Шут;Жаль - нет ружья!;2002;Смешной Совет
Король и Шут;Жаль - нет ружья!;2002;Некромант
Король и Шут;Жаль - нет ружья!;2002;Защитник Свиней
Король и Шут;Жаль - нет ружья!;2002;Генрих и Смерть
Король и Шут;Жаль - нет ружья!;2002;Жаль - нет ружья!
Король и Шут;Жаль - нет ружья!;2002;Представляю Я
Король и Шут;Жаль - нет ружья!;2002;Мой Характер
Король и Шут;Жаль - нет ружья!;2002;Песенка Пьяного Деда
Король и Шут;Жаль - нет ружья!;2002;Водяной
Король и Шут;Жаль - нет ружья!;2002;Вдова и Горбун
Король и Шут;Жаль - нет ружья!;2002;Вино Хоббитов
Король и Шут;Жаль - нет ружья!;2002;Разборки из-за Баб
Король и Шут;Жаль - нет ружья!;2002;Утопленник
Король и Шут;Жаль - нет ружья!;2002;Медведь
Король и Шут;Жаль - нет ружья!;2002;Пьянка
